PRESIDENT,,,,"€240,716",,,,,,
,,,,,,,,,,
VICE PRESIDENT,,,,"€184,171",,,,,,
,,,,,,,,,,
ACADEMIC,,,,,,,,,,
Long Service Increment -3 yrs,,9,,,"€56,116",,,,,
Long Service Increment -6 yrs,,10,,,"€58,164",,,,,
"SENIOR COMPUTER OPERATOR
Long Service Increment -3 yrs Long Service Increment -6 yrs",,1,,,"€42,214",,,,,
,,2,,,"€43,823",,,,,
,,3,,,"€45,475",,,,,
,,4,,,"€46,768",,,,,
,,5,,,"€48,067",,,,,
,,6,,,"€49,369",,,,,
,,7,,,"€50,686",,,,,
,,8,,,"€51,968",,,,,
,,9,,,"€53,657",,,,,
,,10,,,"€55,570",,,,,
,,,,,,,,,,
COMPUTER OPERATOR,,1,,,"€33,403",,,,,
,,2,,,"€35,114",,,,,
,,3,,,"€36,604",,,,,
,,4,,,"€37,881",,,,,
,,5,,,"€39,133",,,,,
,,6,,,"€40,054",,,,,
,,7,,,"€41,318",,,,,
,,8,,,"€42,586",,,,,
,,9,,,"€43,868",,,,,
,,10,,,"€45,138",,,,,
,,,,,,,,,,
PRINT OPERATOR 2,,1,,,"€31,238",,,,,
,,2,,,"€32,320",,,,,
,,3,,,"€33,844",,,,,
,,4,,,"€35,403",,,,,
,,5,,,"€36,946",,,,,
,,6,,,"€38,331",,,,,
,,7,,,"€39,365",,,,,
,,8,,,"€40,749",,,,,
,,9,,,"€42,093",,,,,
,,10,,,"€43,223",,,,,
,,11,,,"€44,373",,,,,
PRINT OPERATOR 1,,1,,,"€29,021",,,,,
,,2,,,"€30,996",,,,,
,,3,,,"€31,738",,,,,
,,4,,,"€32,768",,,,,
,,5,,,"€34,232",,,,,
,,6,,,"€35,719",,,,,
,,7,,,"€37,208",,,,,
,,8,,,"€38,553",,,,,
,,,,,,,,,,
COMPUTER LAB ATTENDANT,,1,,,"€33,403",,,,,
,,2,,,"€34,543",,,,,
,,3,,,"€36,605",,,,,
,,4,,,"€36,967",,,,,
,,5,,,"€36,987",,,,,
,,6,,,"€37,353",,,,,
,,7,,,"€37,714",,,,,
,,8,,,"€38,072",,,,,
,,9,,,"€38,428",,,,,
,,,,,,,,,,
TEMPORARY COMPUTER ASSISTANT,,1,,,"€33,403",,,,,
,,2,,,"€34,543",,,,,
,,3,,,"€36,605",,,,,
,,4,,,"€36,967",,,,,
,,5,,,"€36,987",,,,,
,,6,,,"€37,353",,,,,
,,7,,,"€37,714",,,,,
,,8,,,"€38,072",,,,,
,,9,,,"€38,428",,,,,
TECHNICAL,,,,,,,,,,
CHIEF TECHNICAL OFFICER,,1,,,"€64,838",,,,,
,,2,,,"€67,536",,,,,
,,3,,,"€70,205",,,,,
,,4,,,"€72,948",,,,,
,,5,,,"€75,821",,,,,
,,6,,,"€78,621",,,,,
,,,,,,,,,,
TECHNICAL OFFICER,,1,,,"€39,828",,,,,
,,2,,,"€41,606",,,,,
,,3,,,"€43,745",,,,,
,,4,,,"€45,033",,,,,
,,5,,,"€46,408",,,,,
,,6,,,"€49,325",,,,,
,,7,,,"€51,251",,,,,
,,8,,,"€53,228",,,,,
,,9,,,"€55,376",,,,,
,,10,,,"€57,459",,,,,
,,,,,,,,,,
SENIOR TECHNICAL OFFICER,,11,,,"€60,654",,,,,
,,12,,,"€62,799",,,,,
,,13,,,"€65,107",,,,,
,,14,,,"€67,470",,,,,
,,15,,,"€69,827",,,,,
Long Service Increment - 3 yrs,,16,,,"€71,290",,,,,
SENIOR LAB ATTENDANT,,1,,,"€38,443",,,,,
,,2,,,"€38,970",,,,,
,,3,,,"€39,512",,,,,
,,4,,,"€40,040",,,,,
,,5,,,"€40,229",,,,,
,,,,,,,,,,
LABORATORY ATTENDANT,,1,,,"€33,403",,,,,
,,2,,,"€34,543",,,,,
,,3,,,"€36,604",,,,,
,,4,,,"€36,966",,,,,
,,5,,,"€36,989",,,,,
,,6,,,"€37,352",,,,,
,,7,,,"€37,714",,,,,
,,8,,,"€38,072",,,,,
,,9,,,"€38,429",,,,,
,,,,,,,,,,
SERVICE STAFF,,,,,,,,,,
SEN PORTER/ATTENDANT,,1,,,"€41,472",,,,,
,,2,,,"€41,678",,,,,
,,3,,,"€41,873",,,,,
,,4,,,"€41,984",,,,,
,,5,,,"€42,103",,,,,
,,6,,,"€42,213",,,,,
,,7,,,"€42,325",,,,,
,,8,,,"€42,445",,,,,
,,9,,,"€42,563",,,,,
,,10,,,"€42,689",,,,,
,,11,,,"€42,813",,,,,
,,12,,,"€42,936",,,,,
,,13,,,"€43,069",,,,,
PORTER/ATTENDANT,,1,,,"€36,456",,,,,
,,2,,,"€37,227",,,,,
,,3,,,"€39,454",,,,,
,,4,,,"€39,644",,,,,
,,5,,,"€39,821",,,,,
,,6,,,"€39,919",,,,,
,,7,,,"€40,032",,,,,
,,8,,,"€40,032",,,,,
,,9,,,"€40,032",,,,,
,,10,,,"€40,032",,,,,
,,11,,,"€40,099",,,,,
,,12,,,"€40,214",,,,,
,,13,,,"€40,327",,,,,
,,14,,,"€40,440",,,,,
,,15,,,"€40,552",,,,,
,,,,,,,,,,
GROUNDS SUPERVISOR,,1,,,"€40,712",,,,,
,,2,,,"€40,895",,,,,
,,3,,,"€41,086",,,,,
,,4,,,"€41,188",,,,,
,,5,,,"€41,295",,,,,
,,6,,,"€41,402",,,,,
,,7,,,"€41,498",,,,,
,,8,,,"€41,609",,,,,
,,9,,,"€41,720",,,,,
,,10,,,"€41,828",,,,,
,,11,,,"€41,944",,,,,
,,12,,,"€42,060",,,,,
,,13,,,"€42,165",,,,,
GROUNDSWORKPERSON,,1,,,"€35,063",,,,,
,,2,,,"€35,795",,,,,
,,3,,,"€38,451",,,,,
,,4,,,"€38,637",,,,,
,,5,,,"€38,810",,,,,
,,6,,,"€38,906",,,,,
,,7,,,"€39,009",,,,,
,,8,,,"€39,104",,,,,
,,9,,,"€39,206",,,,,
,,10,,,"€39,304",,,,,
,,11,,,"€39,415",,,,,
,,12,,,"€39,522",,,,,
,,13,,,"€39,632",,,,,
,,14,,,"€39,744",,,,,
,,15,,,"€39,861",,,,,
,,,,,,,,,,
SENIOR AIDE,,1,,,"€40,827",,,,,
,,2,,,"€41,026",,,,,
,,3,,,"€41,209",,,,,
,,4,,,"€41,317",,,,,
,,5,,,"€41,420",,,,,
,,6,,,"€41,534",,,,,
,,7,,,"€41,635",,,,,
,,8,,,"€41,745",,,,,
,,9,,,"€41,859",,,,,
,,10,,,"€41,975",,,,,
,,11,,,"€42,089",,,,,
,,12,,,"€42,206",,,,,
,,13,,,"€42,318",,,,,
,,,,,,,,,,
GROUNDSWORKPERSON,,1,,,"€35,829",,,,,
MACHINE ATTENDANT,,2,,,"€36,585",,,,,
,,3,,,"€39,300",,,,,
,,4,,,"€39,493",,,,,
,,5,,,"€39,671",,,,,
,,6,,,"€39,864",,,,,
,,7,,,"€39,874",,,,,
,,8,,,"€39,979",,,,,
,,9,,,"€40,085",,,,,
,,10,,,"€40,085",,,,,
,,11,,,"€40,085",,,,,
,,12,,,"€40,085",,,,,
,,13,,,"€40,172",,,,,
,,14,,,"€40,286",,,,,
,,15,,,"€40,401",,,,,
,,,,,,,,,,
